bookID,title,authors,average_rating,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,Amazon,Kinokuniya,Thryft
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPr̩,4.57,978-0439785969,eng,652,2095690,27591,9/16/2006,17.81,Price not found,5.90
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPr̩,4.49,978-0439358071,eng,870,2153167,29221,2004-01-09 00:00:00,38.48,Price not found,8.90
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,978-0439554893,eng,352,6333,244,2003-01-11 00:00:00,Price not found,Price not found,Price not found
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPr̩,4.56,978-0439655484,eng,435,2339585,36325,2004-01-05 00:00:00,Price not found,Price not found,Price not found
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPr̩,4.78,978-0439682589,eng,2690,41428,164,9/13/2004,73.80,Price not found,Price not found
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,978-0976540601,en-US,152,19,1,4/26/2005,Price not found,Price not found,Price not found
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,978-0439827607,eng,3342,28242,808,2005-12-09 00:00:00,Price not found,Price not found,Price not found
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,978-0517226957,eng,815,3628,254,2005-01-11 00:00:00,61.32,Price not found,Price not found
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,978-0345453747,eng,815,249558,4080,4/30/2002,30.00,34.88,12.63
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,978-1400052929,eng,215,4930,460,2004-03-08 00:00:00,27.34,Price not found,9.35
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,978-0739322208,eng,6,1266,253,3/23/2005,Price not found,Price not found,Price not found
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,978-0517149256,eng,815,2877,195,1/17/1996,Price not found,Price not found,Price not found
21,A Short History of Nearly Everything,Bill Bryson,4.21,978-0767908184,eng,544,248558,9396,9/14/2004,25.40,41.19,7.31
22,Bill Bryson's African Diary,Bill Bryson,3.44,978-0767915069,eng,55,7270,499,2002-03-12 00:00:00,22.39,23.30,Price not found
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,978-0767910439,eng,256,2088,131,9/14/2004,27.51,34.33,Price not found
24,In a Sunburned Country,Bill Bryson,4.07,978-0767903868,eng,335,72451,4245,5/15/2001,23.94,34.33,Price not found
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,978-0767903820,eng,304,49240,2211,6/28/2000,24.41,32.61,Price not found
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,978-0060920081,eng,299,45712,2257,8/28/1990,24.75,32.94,3.49
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,978-0380713806,eng,254,48701,2238,3/28/1993,26.88,33.25,Price not found
28,Notes from a Small Island,Bill Bryson,3.91,978-0380727506,eng,324,80609,3301,5/28/1997,24.09,33.25,3.90
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,978-0380715435,eng,270,28489,2085,9/28/1991,22.12,30.88,4.90
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,978-0345538376,eng,1728,101233,1550,9/25/2012,36.60,Price not found,Price not found
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,978-0618517657,eng,1184,1710,91,10/21/2004,110.53,147.59,Price not found
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,978-0618346257,eng,398,2128944,13670,2003-05-09 00:00:00,Price not found,Price not found,Price not found
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,978-0618260584,en-US,1216,1618,140,2002-01-10 00:00:00,Price not found,194.19,Price not found
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,978-0618391004,eng,218,19822,46,2003-05-11 00:00:00,69.87,Price not found,Price not found
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,978-0618510825,eng,224,359,6,11/15/2004,86.82,Price not found,Price not found
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,978-0976694007,eng,558,1430,59,7/28/2005,91.99,Price not found,Price not found
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,978-0689840920,eng,208,270244,12017,2000-01-04 00:00:00,25.59,Price not found,Price not found
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,978-1557344496,eng,48,36,2,8/28/1994,Price not found,Price not found,Price not found
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,978-0385326506,eng,144,2067,334,1/23/2001,84.99,Price not found,Price not found
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,978-1575606248,eng,56,6,0,2003-10-06 00:00:00,Price not found,Price not found,Price not found
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,978-1595580276,en-US,228,99,16,2005-01-11 00:00:00,Price not found,23.23,Price not found
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,978-1595962805,eng,304,167,4,2005-01-11 00:00:00,105.43,Price not found,Price not found
58,Changeling (Changeling  #1),Delia Sherman,3.6,978-0670059676,eng,256,978,111,8/17/2006,36.30,Price not found,Price not found
59,The Changeling Sea,Patricia A. McKillip,4.06,978-0141312620,eng,137,4454,302,4/14/2003,Price not found,9.31,Price not found
61,The Changeling,Zilpha Keatley Snyder,4.17,978-0595321803,eng,228,1176,96,2004-08-06 00:00:00,Price not found,Price not found,Price not found
63,The Changeling,Kate Horsley,3.55,978-1590301944,eng,339,301,43,2005-12-04 00:00:00,32.07,Price not found,Price not found
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,978-0449146972,eng,369,345,12,8/28/1990,Price not found,Price not found,Price not found
67,The Known World,Edward P. Jones,3.83,978-0061159176,eng,388,29686,2626,8/29/2006,25.81,Price not found,Price not found
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,978-0060762735,en-US,14,55,12,6/15/2004,Price not found,Price not found,Price not found
69,The Known World,Edward P. Jones,3.83,978-0060749910,eng,576,22,3,6/15/2004,Price not found,Price not found,Price not found
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,978-0273704744,eng,334,1456,82,5/15/2006,61.11,Price not found,13.52
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,978-1932386103,eng,352,52,4,12/14/2005,Price not found,Price not found,Price not found
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,978-0374517199,eng,416,562,37,1982-01-06 00:00:00,33.84,Price not found,Price not found
75,Uncommon Carriers,John McPhee,3.95,978-0374280390,en-US,248,1630,203,5/16/2006,37.02,Price not found,Price not found
76,Heirs of General Practice,John McPhee,4.17,978-0374519742,eng,128,268,22,1986-01-04 00:00:00,24.99,Price not found,Price not found
77,The Control of Nature,John McPhee,4.24,978-0374522599,en-US,288,3498,305,1990-01-09 00:00:00,25.91,Price not found,Price not found
78,Annals of the Former World,John McPhee,4.34,978-0374518738,eng,720,3115,228,1999-06-01 00:00:00,30.03,45.05,Price not found
79,Coming Into the Country,John McPhee,4.22,978-0374522872,eng,448,5704,261,1991-01-04 00:00:00,25.60,Price not found,Price not found
80,La Place de la Concorde Suisse,John McPhee,3.92,978-0374519322,fre,160,698,52,1994-01-04 00:00:00,24.22,Price not found,Price not found
81,Giving Good Weight,John McPhee,4.23,978-0374516000,eng,288,542,36,1994-01-04 00:00:00,31.11,Price not found,Price not found
83,Rising from the Plains,John McPhee,4.23,978-0374520656,eng,208,1341,98,1987-01-11 00:00:00,23.60,Price not found,4.42
85,The Heidi Chronicles,Wendy Wasserstein,3.75,978-0822205104,eng,81,1423,70,2002-01-03 00:00:00,33.61,Price not found,Price not found
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,978-0679734994,eng,249,2766,64,1991-02-07 00:00:00,24.06,Price not found,Price not found
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,978-1596670235,eng,138,31,1,3/29/2006,66.20,Price not found,Price not found
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,978-1581807745,en-US,128,62,4,3/14/2006,Price not found,Price not found,Price not found
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,978-0800793616,eng,192,860,53,2003-01-09 00:00:00,39.36,Price not found,Price not found
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,978-0871202864,en-US,108,77,2,1/28/1997,21.47,Price not found,Price not found
